Métier;Secteur;Nombre d'enregistrements;RIASEC Maj;RIASEC min;
Consultant en Performance Commerciale;Direction générale, Stratégie, Conseil, Organisation;1;;;
Consultant en Performance Industrielle;Industrie, Maintenance, Energie;1;;;
Consultant en Ressources Humaines;Ressources Humaines;63;E;C;
Consultant en stratégie;Direction générale, Stratégie, Conseil, Organisation;39;E;C;
Consultant en transformation digitale;Direction générale, Stratégie, Conseil, Organisation;13;E;C;
Consultant immobilier d'entreprise;Immobilier;1;;;
Consultant Logistique;Transport, Logistique;2;;;
Contrôleur aérien;Aérien, Aéronautique et Aéroportuaire;6;;;
Contrôleur de gestion;Audit, Comptabilité, Gestion;16;E;C;
Contrôleur de gestion sociale;Ressources Humaines;1;;;
Contrôleur de projet;Industrie, Maintenance, Energie;1;;;
Contrôleur de train;Transport, Logistique;1;;;
Coordinateur commercial;Bâtiment, Travaux publics, Architecture;1;;;
Coordinateur d'un espace de créativité;Direction générale, Stratégie, Conseil, Organisation;1;;;
Coordinateur de l'Animation;Direction générale, Stratégie, Conseil, Organisation;1;;;
Coordinateur de programme / de projet;Direction générale, Stratégie, Conseil, Organisation;36;C;;le RIASEC mineur dépend de la nature du projet
Coordinateur essais cliniques;Biologie, Chimie, Pharmacie;1;;;
Cordiste;Bâtiment, Travaux publics, Architecture;2;;;
Cordonnier-bottier;Artisanat, Commerce de détail;2;;;
Courtier;Banque, Assurance, Finance;8;;;
Couvreur;Bâtiment, Travaux publics, Architecture;3;;;
Créateur de parfum;Biologie, Chimie, Pharmacie;1;;;
Credit manager;Audit, Comptabilité, Gestion;2;;;
Cuisinier;Hôtellerie - Restauration;8;;;
Danseur;Spectacle, Métiers de la scène;1;A;R;
Data scientist;Informatique, Digital, Télécom;6;;;
Décorateur;Bâtiment, Travaux publics, Architecture;1;;;
Délégué Général de fondation / association;Social, Vie associative;20;E;C;
Délégué Régional;Direction générale, Stratégie, Conseil, Organisation;1;;;
Délégué Territorial;Direction générale, Stratégie, Conseil, Organisation;1;;;
Dénicheur de talents;Audiovisuel, Cinéma;1;;;
Dépanneur remorqueur;Transport, Logistique;1;;;
Dermatologue;Médical;1;;;
Designer industriel;Design, Graphisme, Multimédia;4;;;
Designer produit;Design, Graphisme, Multimédia;4;;;
Designer textile;Mode, Luxe, Industrie textile;5;;;
Dessinateur - Projeteur en bâtiment;Bâtiment, Travaux publics, Architecture;3;;;
Dessinateur industriel;Industrie, Maintenance, Energie;1;;;
Détective privé;Défense, Sécurité;1;;;
Développeur;Informatique, Digital, Télécom;44;I;R;
Développeur foncier;Immobilier;4;;;
Développeur Mobile;Informatique, Digital, Télécom;2;;;
Diététicien;Paramédical;4;;;
Digital Account Manager;Marketing, E-commerce, Publicité;3;;;
Directeur / Ingénieur de travaux;Bâtiment, Travaux publics, Architecture;11;C;R;
Directeur / responsable commercial;Commerce, Vente, Distribution;59;E;C;
Directeur / responsable de la communication;Communication, Médias;61;C;E;
Directeur / Responsable du marketing;Marketing, E-commerce, Publicité;61;E;C;
Directeur / Responsable pédagogique;Enseignement, Formation;20;C;S;
Directeur administratif et financier;Audit, Comptabilité, Gestion;23;E;C;
Directeur artistique;Marketing, E-commerce, Publicité;11;A;E;
Directeur comptable;Audit, Comptabilité, Gestion;2;;;
Directeur d'agence bancaire;Banque, Assurance, Finance;6;;;
Directeur d'agence d'intérim;Ressources Humaines;4;;;
Directeur d'agence événementielle;Communication, Médias;3;E;C;
Directeur d'agence réceptive touristique;Tourisme, Loisirs;2;;;
Directeur d'école, Principal, Proviseur;Enseignement, Formation;12;C;S;
Directeur d'équipement sportif;Sport, Animation;2;E;R;
Directeur d'établissement médical;Médical;3;;;
Directeur d'hôtel;Hôtellerie - Restauration;5;E;C;
Directeur d'office de tourisme;Tourisme, Loisirs;3;;;
Directeur de centre de formation;Enseignement, Formation;22;C;S;
Directeur de centre de profit;Direction générale, Stratégie, Conseil, Organisation;11;E;C;
Directeur de clientèle, consultant;Marketing, E-commerce, Publicité;20;E;C;
Directeur de collection / de publication;Edition, Bibliothèque, Livre;2;;;
Directeur de coopérative;Agriculture, Elevage, Pêche;1;;;
Directeur de création;Marketing, E-commerce, Publicité;9;A;E;
Directeur de la photographie;Audiovisuel, Cinéma;3;;;
Directeur de la stratégie;Direction générale, Stratégie, Conseil, Organisation;3;;;
Directeur de Laboratoire de Recherche;Sciences, Maths, Physique, Recherche;1;;;
Directeur de magasin;Commerce, Vente, Distribution;5;;;
Directeur de médiathèque;Edition, Bibliothèque, Livre;1;;;
Directeur de programme immobilier;Immobilier;5;;;
Directeur de recherche;Sciences, Maths, Physique, Recherche;1;;;
Directeur de restaurant;Hôtellerie - Restauration;14;E;C;
Directeur de secteur bancaire;Banque, Assurance, Finance;3;;;
Directeur de site industriel;Industrie, Maintenance, Energie;8;;;
Directeur de structure culturelle;Culture, Patrimoine;1;;;
Directeur de structure sociale;Social, Vie associative;16;E;S;
Directeur de village vacances / camping;Tourisme, Loisirs;7;E;R;
